"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bosnia and Herzegovina","BIH","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7939300537109","","","","","","","","","","","","","","99.6629333496094","99.6522064208984","",
"Belarus","BLR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7662811279297","","","","","","","","","","99.7918395996094","","","","","","","","","","99.8232116699219","","","","","","99.8401870727539","",
"Belize","BLZ","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3117446899414","","","","","","","","","","","","","","","","","","","","","","","","88.6058120727539","",
"Bermuda","BMU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.5519790649414","","","","","","","","","","","","","","","","93.896110534668","","","","","","","","","97.3237762451172","","","","","","99.4413604736328","99.1224975585938","99.3839721679688","","99.0075225830078","98.9958801269531","","","99.0404891967773","",
"Brazil","BRA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.9142684936523","","","","","","","","","","","","","","","","","","","","94.1841125488281","","","","96.8438568115234","","97.5822982788086","97.8006286621094","97.8436279296875","98.0655364990234","97.5141220092773","98.4869232177734","98.6196594238281","98.7366790771484","","98.9323883056641","",
"Barbados","BRB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","99.7551879882813","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","93.6810073852539","","","","","","","","","","98.0956726074219","","","","","","","","","","98.8937911987305","","","","","","","","","","99.3667678833008","","","","99.6049270629883","",
"Bhutan","BTN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4052124023438","","","","","","","87.318359375","","","92.0408401489258","",
"Botswana","BWA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.25830078125","","","","","","","","","","","","93.9574432373047","","","","","","","","","","","97.6808319091797","97.8123168945313","",
"Central African Republic","CAF","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2023315429688","","","","","","","","","","","","60.8070487976074","","","","","","","","","","36.3562698364258","","","","","36.3562698364258","",
"Canada","CAN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5677719116211","","","","","","","","","","99.2659225463867","","","","","","","","","","99.49072265625","","","","","","",
"Switzerland","CHE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","96.6539764404297","","","","","","","","","","98.4279708862305","","","","","","","","","","98.9909820556641","","","","","","99.1535797119141","98.8723831176758","","99.4081878662109","","99.018669128418","","99.1464385986328","",
"China","CHN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","88.7733383178711","","","","","","","","94.2814712524414","","","","","","","","","","98.8587265014648","","","","","","","","","","99.6422882080078","","","","","99.7288589477539","",
"Cote d'Ivoire","CIV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5084800720215","","","","","","","","","","47.058708190918","","60.7236518859863","","","","","","","","","","","","48.3099594116211","","","50.2375793457031","",
"Cameroon","CMR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","68.8170318603516","","","","","","","","","","","","","","","","","","","","","","","","83.0982894897461","","","","","","","83.1355667114258","","","80.5744400024414","","","","","83.7973709106445","",
"Congo, Rep.","COG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.913948059082","","","","80.913948059082","",
"Colombia","COL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4846496582031","","","96.995002746582","","","","","","","","97.9913101196289","97.9583969116211","97.883171081543","97.9686279296875","97.9892730712891","97.9374313354492","98.0984191894531","98.239372253418","","","98.529052734375","98.6556396484375","",
"Comoros","COM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","61.713020324707","","","","","","","","","","","","","","","","","","","","80.1857604980469","","","","","","","","","","","","","","87.1228408813477","87.4791717529297","",
"Cabo Verde","CPV","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1679000854492","","","","","","","","","","","","","","97.1149597167969","","","","","","","","98.1289672851563","","","98.3426971435547","",
"Costa Rica","CRI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","97.148193359375","","","","","","","","","","","","","","","","97.6147003173828","","","","","","","","","","","99.1336975097656","","","","99.3229217529297","",
"Caribbean small states","CSS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2461242675781","","","","","","","","","","96.048225402832","","","","","","",
"Cuba","CUB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.5685729980469","","","","","","","","","","","","","","","","","","","","","99.9555969238281","","","","","","","","","","99.8746490478516","","","99.8902969360352","",
"Curacao","CUW","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9068222045898","","","","","","","","","",
"Cyprus","CYP","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6213912963867","","","","","","","","","99.7749328613281","","","","","","","","","","99.8209915161133","","","","99.85888671875","",
"Czech Republic","CZE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","82.6241989135742","","","","","","","","","","","","","","","","","","","","","94.2175674438477","","","","","95.7868576049805","","","96.8057479858398","97.0419082641602","97.0238876342773","97.4724273681641","97.6885833740234","97.8985595703125","",
"Algeria","DZA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3272705078125","","","","","","","","","","","","","","","90.13720703125","","","","91.7796401977539","","93.7673263549805","","","","","","","96.7526016235352","",
"East Asia & Pacific (excluding high income)","EAP","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5657653808594","","","","","","","","","","97.8866577148438","","","","","","","","","","98.969108581543","","","","","","",
"Early-demographic dividend","EAR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9787139892578","","","","","","","","","","81.3287734985352","","","","","","","","","","88.4755249023438","","","","","","",
"East Asia & Pacific","EAS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.0578384399414","","","","","","","","","","98.0113906860352","","","","","","","","","","99.0044021606445","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4176406860352","","","","","","","","","","98.8309631347656","","","","","","","","","","99.6261138916016","","","","","","",
"Europe & Central Asia","ECS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1203384399414","","","","","","","","","","99.2735900878906","","","","","","","","","","99.7114486694336","","","","","","",
"Ecuador","ECU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.4014587402344","","","","","","","","96.194709777832","","","","","","","","","","","96.4372100830078","","","","","","95.4279708862305","","96.8311004638672","98.6527099609375","98.6948394775391","98.8316268920898","98.6046371459961","","98.8251571655273","",
"Egypt, Arab Rep.","EGY","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","51.0311584472656","","","","","","","","","","63.3276214599609","","","","","","","","","","73.2186889648438","","","","","","","","","84.9328994750977","84.8782730102539","","","","87.5096435546875","","89.2819213867188","92.0234222412109","","93.2928695678711","",
"Euro area","EMU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9452896118164","","","","","","","","","","","","92.5505599975586","93.2716369628906","",
"Spain","ESP","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","98.6419525146484","","","","","","","","","","99.554557800293","","","","","","","","","","","","","99.5581970214844","99.5377883911133","","99.5693435668945","99.5643081665039","99.5989990234375","99.5946273803711","99.6994018554688","99.6727828979492","99.6692581176758","99.7202911376953","99.7564010620117","",
"Estonia","EST","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8678894042969","","","","","","","","","","","99.7705001831055","","","","","","","","","","","99.9488983154297","","","","99.9655303955078","",
"Ethiopia","ETH","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5853996276855","","","","","","","","","","49.9000015258789","44.6059684753418","","54.9829788208008","","","","","","","","69.4917602539063","",
"European Union","EUU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0115661621094","","","","","","","","","","76.1655731201172","","","","","","",
"Finland","FIN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
